2000 200 200
281 941 108878 99329
1726 1944 185529 -96099
1511 858 171683 111586
675 612 167099 -38408
614 1508 44952 123804
1705 857 151543 -179919
114 601 173022 84922
652 401 48788 -123308
452 965 125616 64514
1422 489 1299 -73081
896 127 145541 95898
1661 187 63178 77574
1330 463 152760 29071
34 1749 44868 -90132
187 1501 81078 49657
1534 649 47069 150260
259 1282 55966 -76539
1161 1743 83015 -5112
1187 1529 121167 -11412
1769 685 190032 -189165
292 1775 153023 -199474
480 708 145862 130728
1342 1638 153349 -6557
50 1539 20387 -40998
734 22 65489 73420
1020 813 184169 -70019
299 173 91325 -165815
289 1145 117961 -190158
1285 252 42317 133616
589 473 178649 164341
1631 1699 17774 27013
11 138 170420 -115905
1034 59 51231 -69123
638 237 109144 196611
1910 724 190918 95635
1986 614 159254 -130929
551 1253 24449 29562
928 1839 96328 14699
1783 1862 114932 180751
1858 1164 13266 52004
648 158 100542 -71486
1605 1261 25917 -149270
31 6 132388 -7872
579 1170 162490 -6844
507 1919 22754 27453
1946 1830 60428 103269
1996 655 70938 -181934
1291 610 2806 -108841
282 1386 191798 -194314
631 884 23886 17327
828 528 44502 192802
1498 1207 132241 -43222
1663 385 74511 80096
1719 1643 97984 -171048
1668 1327 192076 -42698
196 129 117153 152769
1909 368 72175 102571
827 95 164369 74327
1589 1457 11105 -131196
1701 748 27284 -166073
1021 1702 58733 -20296
1197 542 28095 -45180
1808 328 111509 -97999
611 687 114372 196541
1380 73 184989 -116640
182 78 171114 33127
27 1678 98247 57830
981 1091 53075 -177938
536 66 65067 141890
1284 1174 3327 -52345
1229 1313 16128 -22347
14 835 153698 -27411
915 1712 89001 58842
1582 1929 152655 -175770
147 1650 53870 -196462
1591 1246 13785 -152798
1351 249 159564 -76792
250 626 94173 -29765
1526 562 175876 -118622
1572 492 91169 72445
683 1820 182318 82938
626 751 110760 152191
438 1541 61094 -78495
398 166 43687 42716
276 1185 180970 43008
698 891 31909 174997
1157 1354 11275 -150093
1143 1971 113747 132864
341 886 107039 60760
200 1747 192470 184505
290 64 96422 -148109
1130 1494 119375 -42385
1051 1162 9447 -11844
1409 251 91086 118046
1454 568 186690 177073
235 1791 124005 -121378
724 1062 161669 -190267
1592 1551 69637 187321
1599 660 127285 -10232
87 1729 182275 15971
377 1467 15000 -164422
234 1864 33943 47547
1174 1586 72193 -21666
868 583 177344 123002
1775 686 194519 -174108
1478 36 50010 -51325
1567 774 50777 192691
1356 1349 92868 24588
1873 776 65279 131639
1570 1400 55700 143646
1799 117 150382 -26713
785 394 117340 6289
605 1025 35036 185875
246 1589 98858 115196
1460 855 196454 -156921
1811 393 119367 43260
1761 730 167259 -71866
1969 1345 132340 108811
154 625 72222 153213
378 1360 17809 195097
712 1090 37786 -173243
717 766 152761 -143543
36 264 157884 -125344
1779 1242 83568 55140
1399 1274 119383 70751
1612 1926 145635 -124764
1976 573 88358 86047
136 1270 130998 -95717
508 1827 28732 135453
960 617 190181 -167772
1690 442 195456 -79479
1720 305 147474 130005
655 1856 137816 29873
1287 1773 177431 -7504
46 1623 192986 -152511
408 545 11138 -19953
1249 1474 46465 -61114
1366 1584 28027 -143641
927 518 66743 156379
931 502 13463 -164609
948 1486 81005 -39272
1235 83 103343 -18208
1335 258 139048 115200
1566 494 100658 -106728
1232 1758 129961 189480
397 1695 60112 -62969
1746 1058 85624 -2279
1326 552 168375 -136900
1579 1823 146120 35324
673 108 194439 -85615
337 1803 44102 -28231
98 1951 175265 -71588
1816 1232 27449 66027
1625 1620 195056 -17964
1874 132 122215 -179737
469 1234 30732 139346
802 300 21007 31578
1702 38 138941 -6546
1009 1269 45541 -25302
806 907 139524 -132796
116 1362 158574 127323
1580 234 72108 24375
1639 584 84099 178197
467 820 156982 22070
543 1608 184771 -171065
1531 178 2558 -162262
126 48 183459 -140941
1864 963 37137 117412
1990 2000 164296 31424
1035 253 13759 120884
177 807 93563 -85019
622 209 125985 -72314
1059 1877 104818 49203
225 219 57788 52637
1372 1845 135966 105706
109 116 183692 81685
451 962 115459 73496
803 1705 49441 -99460
115 397 17748 -90937
1781 1680 100501 198626
1897 47 159045 75550
1715 1397 176490 -83728
1095 120 24799 -80885
1266 194 58615 -119446
1162 419 169412 -83275
1377 1326 189596 -80722
1292 503 105962 -13976
1685 1665 122551 32466
488 1572 35856 22636
1255 277 138397 157469
1683 1553 126072 -87395
484 755 123075 -50725
1054 1015 33649 117710
381 634 140410 129404
173 386 103781 69783
1529 745 2781 -140702
240 646 46664 145139
236 1390 85209 -53131
1002 1896 118852 -64243
483 587 997 -106605
325 1757 58943 -49780
1617 1454 68915 160035
965 757 29963 76547
678 229 152107 -128186
1001 1609 129290 -115667
1756 1231 24966 -67010
155 1343 190050 145803
1747 628 975 183015
565 1365 147612 99983
268 657 155977 -192886
139 58 90126 -161027
772 618 47475 -57970
749 213 33524 -123042
883 285 42245 -82615
756 1739 172540 9886
1126 1744 72218 -155384
555 362 117675 11040
1328 352 156771 54735
